,Thrombolysis_rate_(%)_(median),Thrombolysis_rate_(%)_(low_5%),Thrombolysis_rate_(%)_(high_95%),Thrombolysis_rate_(%)_(mean),Thrombolysis_rate_(%)_(stdev),Thrombolysis_rate_(%)_(95ci),Thrombectomy_rate_(%)_(median),Thrombectomy_rate_(%)_(low_5%),Thrombectomy_rate_(%)_(high_95%),Thrombectomy_rate_(%)_(mean),Thrombectomy_rate_(%)_(stdev),Thrombectomy_rate_(%)_(95ci),LVO_IVT_mean_shift_(median),LVO_IVT_mean_shift_(low_5%),LVO_IVT_mean_shift_(high_95%),LVO_IVT_mean_shift_(mean),LVO_IVT_mean_shift_(stdev),LVO_IVT_mean_shift_(95ci),LVO_MT_mean_shift_(median),LVO_MT_mean_shift_(low_5%),LVO_MT_mean_shift_(high_95%),LVO_MT_mean_shift_(mean),LVO_MT_mean_shift_(stdev),LVO_MT_mean_shift_(95ci),nLVO_IVT_mean_shift_(median),nLVO_IVT_mean_shift_(low_5%),nLVO_IVT_mean_shift_(high_95%),nLVO_IVT_mean_shift_(mean),nLVO_IVT_mean_shift_(stdev),nLVO_IVT_mean_shift_(95ci),LVO_IVT_mean_added_utility_(median),LVO_IVT_mean_added_utility_(low_5%),LVO_IVT_mean_added_utility_(high_95%),LVO_IVT_mean_added_utility_(mean),LVO_IVT_mean_added_utility_(stdev),LVO_IVT_mean_added_utility_(95ci),LVO_MT_mean_added_utility_(median),LVO_MT_mean_added_utility_(low_5%),LVO_MT_mean_added_utility_(high_95%),LVO_MT_mean_added_utility_(mean),LVO_MT_mean_added_utility_(stdev),LVO_MT_mean_added_utility_(95ci),nLVO_IVT_mean_added_utility_(median),nLVO_IVT_mean_added_utility_(low_5%),nLVO_IVT_mean_added_utility_(high_95%),nLVO_IVT_mean_added_utility_(mean),nLVO_IVT_mean_added_utility_(stdev),nLVO_IVT_mean_added_utility_(95ci),onset_to_needle_mins(mean),onset_to_puncture_mins(mean)
Salisbury District Hospital,9.502923976608187,7.602339181286549,11.169590643274852,9.298245614035087,1.417785305728513,0.8787362893649355,0.29239766081871343,0.0,0.906432748538011,0.3508771929824561,0.35943643108354334,0.22277691441486105,-0.09690718737096604,-0.11246782016183686,-0.08589164086269573,-0.09826334186798188,0.010132645711792187,0.006280163476270917,-0.23903601255707163,-0.33291779643368313,-0.015643394213267492,-0.19268283145098306,0.12863649529408874,0.07972826075634529,-0.3832410403295831,-0.4511373844182759,-0.3071557199687514,-0.37667619146424675,0.0548970376276032,0.03402491120982504,0.023077158062800862,0.02096804889677735,0.025934069476792686,0.023298199491833094,0.0018909850069331994,0.001172023113459604,0.05183109401187952,0.008684623436677525,0.07025502387576289,0.0430402075068505,0.024952732356390433,0.01546557955691609,0.07156170451775676,0.057888833734234243,0.08351222214172353,0.07034116500487202,0.009746664136956185,0.006040934013626473,184.56596107596107,387.10714285714283
Sandwell District Hospital,8.981001727115718,7.582037996545769,10.708117443868739,9.20552677029361,1.2213909226982855,0.7570120263902815,0.8635578583765112,0.5181347150259068,0.9585492227979273,0.7944732297063903,0.16685523023822038,0.10341604281568284,-0.10355609174233477,-0.11768796060762507,-0.09498904812169,-0.10424572025042081,0.008642083223501362,0.005356320250688731,-0.4892292839760386,-0.8221509362731666,-0.2766748854654006,-0.5332244786364136,0.20324666823931087,0.12597127530717822,-0.43671493575188103,-0.4851415880758402,-0.41268568739230393,-0.4418684619463565,0.02772171392000328,0.017181780574586247,0.024295433363393886,0.02268702867339369,0.026899185708612865,0.02441045045043371,0.0016053643064376304,0.0009949968221691016,0.09947136010359471,0.0587455958492314,0.1622149835100015,0.10747512515818253,0.03847426132288795,0.023846156039513483,0.08096153264151457,0.07673586252363941,0.08948518330303182,0.08187300988619495,0.004868432818360791,0.0030174304759285203,167.60210032041937,297.40999999999997
Scunthorpe General Hospital,6.0,4.63,7.6,6.12,1.1321562514855348,0.7017048204632887,0.0,0.0,0.2,0.06000000000000001,0.09660917830792962,0.05987788879028038,-0.09757502612901038,-0.12454935774613472,-0.07844502253826333,-0.09925424357838461,0.016791009157296782,0.010406984063072944,,,,,,,-0.366226555500487,-0.40602393882211113,-0.331118418483903,-0.36995684611795626,0.02984886282188181,0.018500176896942666,0.023193772568684413,0.019626674875322905,0.028185896940437005,0.023500407347295124,0.0031176448738826305,0.0019323008053222374,,,,,,,0.06852949141247151,0.06231377934977492,0.07557617292429801,0.06918809222572261,0.0052978144875756115,0.003283559101470504,187.41939158185866,
Southampton General Hospital,12.67409470752089,11.05849582172702,13.245125348189415,12.465181058495821,0.8666738487741161,0.5371601460984721,2.8551532033426184,2.277158774373259,3.8022284122562664,2.9526462395543174,0.5753735704672114,0.3566136806949163,-0.10677597054463267,-0.11861142747557055,-0.09611770176308486,-0.1070914199069795,0.008156587455452058,0.005055412385446892,-0.5124307691512864,-0.645891330609303,-0.4350783776819948,-0.5237497712139662,0.07428560742630695,0.04604185045455189,-0.44605721505785606,-0.4738608001465899,-0.4186207217365231,-0.44617971484626695,0.020249206650728192,0.01255035769022983,0.024869378508112397,0.022909117313559595,0.027084783423257302,0.024936719944858098,0.0015164372036833797,0.0009398802456447794,0.10391450566545277,0.08923857208081806,0.12900531272701019,0.10598028310407144,0.01401962131395849,0.008689291645182617,0.08257447582378641,0.0777477226865813,0.08748179207261937,0.0826080862351799,0.003567796223722509,0.002211302375738189,165.31000358197684,297.68027432712216
Southend Hospital,16.49122807017544,15.263157894736842,18.45614035087719,16.57894736842105,1.2077120718165724,0.7485339425661621,1.1403508771929824,0.7807017543859649,2.026315789473684,1.350877192982456,0.48962422664174216,0.3034666633685146,-0.10284957052422777,-0.1205916033540215,-0.08986499800128692,-0.10408818944236944,0.01157202649729911,0.007172284536722751,-0.23206726698491936,-0.5191177284314332,-0.12131060223245961,-0.29217063788841663,0.1668832200707916,0.10343339077486552,-0.40472061681272475,-0.4373984107294622,-0.39485166902278274,-0.41045345094448776,0.016711439564108987,0.010357667224492662,0.02414575696923233,0.021722964147454567,0.027446866447976687,0.02436549773808072,0.0021541662927618294,0.0013351415670117169,0.05038926438522384,0.02889399292340657,0.10525275759002951,0.06175173847514245,0.0320227935715778,0.01984756837617837,0.0753509238637671,0.07355434533187885,0.08107373427436756,0.07632364945984389,0.0029431153403364067,0.0018241282674398562,177.95337756986328,398.1810822510823
St George's Hospital HASU,13.152804642166345,11.934235976789168,15.019342359767892,13.365570599613154,1.1146824403172058,0.6908746391057292,5.222437137330754,4.235976789168278,6.402321083172146,5.319148936170214,0.7421576036893192,0.4599855959536976,-0.11008752121332724,-0.12665270630613124,-0.09710168380845494,-0.11188928646146874,0.011241063976360745,0.006967155610366149,-0.48607468700235934,-0.6042408313990925,-0.3683944661238808,-0.4929591235418682,0.08055518262164521,0.049927702015282405,-0.44054839863350603,-0.47632421999435304,-0.40321256301095665,-0.4385071826736806,0.02622781420956361,0.016255868955294517,0.025486677724239938,0.023096632540629474,0.02855874524635156,0.025829780822754306,0.0020762217053335924,0.0012868318989286663,0.09877963352769054,0.07631344954408917,0.121237361069663,0.1000599497697899,0.015329688193524765,0.009501264589124536,0.08168211713954773,0.07504787619241664,0.08796569810816138,0.08131012104239305,0.004632052873180511,0.00287092336016935,165.4911558513374,288.66754100942336
St Mary's Hospital Newport,7.633587786259542,5.6106870229007635,8.81679389312977,7.404580152671755,1.209655401934322,0.7497384089192707,0.0,0.0,0.0,0.0,0.0,,-0.06403018418219465,-0.10535064127031601,-0.028036664732904375,-0.06390230585880133,0.028038008207094442,0.017377818202471668,,,,,,,-0.35323375180372885,-0.4435059640265336,-0.2299645661149703,-0.35295825743618947,0.08235966902995415,0.0510461137270134,0.016918919868067758,0.010126222934056064,0.024646077157984593,0.01688072393245791,0.005262547165321597,0.0032617005903347786,,,,,,,0.06629174280759315,0.04381367082687307,0.08211006614346616,0.06601005691559017,0.014805558267808893,0.009176411464883683,208.72776486671222,
St Peter's Hospital,11.64835164835165,9.967032967032967,14.692307692307692,11.97802197802198,1.762053255795706,1.092111854598258,1.208791208791209,0.21978021978021978,1.4395604395604393,0.9890109890109888,0.4775972458023919,0.296012400390663,-0.09725254435671449,-0.10865766100231833,-0.08772891819957411,-0.09855875624386957,0.008289190358707796,0.005137599006153959,-0.40954905947187814,-0.5264741510864475,-0.24835039141095677,-0.4046816175605694,0.10428956963780435,0.06463815718269178,-0.40264446047915425,-0.41599333885319434,-0.37053352565603437,-0.39738544613277604,0.017263237801309797,0.010699669030744152,0.02310759911771526,0.02132711936868944,0.02521449244589975,0.023342063883273874,0.0015456131943087886,0.000957963379696971,0.0846229371775381,0.05345204145917858,0.10704418488965564,0.08362634747083918,0.02006114359595912,0.012433797143123926,0.07503956258549521,0.06930484999265382,0.0773638842182919,0.07407948276007689,0.003075786057713217,0.0019063569190022889,182.4095516968964,327.6147619047619
St Richards Hospital,12.661498708010335,10.400516795865633,14.896640826873385,12.55813953488372,1.607706817615173,0.9964486989600605,0.3875968992248062,0.0,0.7751937984496124,0.41343669250646,0.3033043387021363,0.18798652240400424,-0.10136347757921566,-0.109732549150574,-0.07703930649761129,-0.09730919453960787,0.01312556893367176,0.008135162421260833,-0.24457184000035825,-0.3648449040178009,-0.1068685486134598,-0.24017445399074153,0.11477502493683804,0.07113699028848439,-0.4024314380010786,-0.4291781362590347,-0.35211810861911863,-0.39636726880151124,0.028506521120142667,0.017668200178549476,0.023877486963698662,0.019352806701236937,0.02543837257606923,0.023128070911528086,0.0024468722128153037,0.0015165592421869968,0.05315608789098779,0.026451530473051692,0.07638875842889101,0.05226898891319157,0.022217639701110962,0.013770382716281178,0.07501289538463086,0.06606822750935648,0.07972332196657363,0.07393153485428178,0.005047764866498803,0.0031285795884974515,182.49321213686957,384.99999999999994
Stepping Hill Hospital,10.256410256410255,8.98550724637681,11.465997770345595,10.24526198439242,0.9319167111916546,0.5775973481181929,0.33444816053511706,0.11148272017837235,0.5574136008918618,0.34559643255295425,0.18543255220921068,0.11493017468682504,-0.09902671387191406,-0.110963866774214,-0.08591159176051731,-0.09840495492933143,0.009348059601912782,0.005793880902952506,-0.47060674055378576,-0.806108998634033,-0.29982146912241,-0.5063702646943203,0.18666099377097015,0.11569155666428,-0.4256231277265977,-0.4461085086329539,-0.40933065865550283,-0.4257390482395156,0.012718641737647186,0.0078829509666552,0.023449629476978984,0.021014721919091997,0.025670852133832838,0.023339512921726004,0.001738861273051831,0.0010777375789043121,0.09603205324998543,0.06384555243620597,0.15940682280819216,0.10287199448245524,0.03525836304008516,0.021852958259435534,0.07903062189217583,0.07619084671404133,0.0826366388886424,0.07907119086453251,0.0022234432353068906,0.0013780790718543878,174.97874754919522,283.87166666666667
Sunderland Royal Hospital,11.333333333333334,9.783333333333333,13.35,11.5,1.3653561919382784,0.8462409850896186,0.33333333333333337,0.07500000000000001,0.5916666666666666,0.30000000000000004,0.1892154040658489,0.11727476747551349,-0.08542737280206059,-0.09789420077216586,-0.0706189489066709,-0.08468674238843597,0.009964458060015117,0.006175921605204512,-0.23962422987645038,-0.484577325238574,-0.0399938292427235,-0.23573737025439132,0.1678376312865647,0.10402493010517747,-0.39301125687955285,-0.4211451333103817,-0.3618503140725126,-0.3920114697652329,0.02174495385693093,0.0134774143782177,0.02091686566906501,0.01816441963295619,0.02324205205033239,0.020783940325848183,0.0018530244674400348,0.0011484953596581395,0.0520651423238209,0.013433994965321116,0.09899218455611739,0.05126326740660622,0.03224679855865736,0.01998640555438172,0.0732678280665166,0.06776602896952848,0.07827594819948125,0.07309968781893654,0.0038582024881815918,0.002391294735800048,188.67424863709,361.7314814814815
Torbay Hospital,8.176943699731904,6.528150134048257,9.651474530831099,8.284182305630027,1.126501727553667,0.6982001746202693,0.13404825737265416,0.0,0.5361930294906166,0.21447721179624665,0.24636369530098698,0.15269499448774637,-0.10140510750324498,-0.12801528596369977,-0.0726006219299096,-0.100158691381382,0.01980424035453309,0.01227456979030514,-0.1000615917590586,-0.40933170107064065,0.10025074632427874,-0.13210799506148352,0.2644624244046385,0.1639124968772156,-0.3830981970749733,-0.41287842850973855,-0.36291601307624594,-0.3882361319057238,0.019250598152696807,0.011931425103932858,0.02390113562784872,0.01850605039823409,0.02884186028394055,0.023653510603152062,0.003699508291302181,0.002292936860918627,0.025066710710773127,-0.013886653312274715,0.08491456578827611,0.03121214925620111,0.05129540341403204,0.031792636216075504,0.0715186399994792,0.06797612697730107,0.07679873376421571,0.0724350222086783,0.003423741717267774,0.0021220181082564488,183.99703456071356,428.1
University College Hospital HASU,13.687600644122384,11.755233494363928,14.863123993558775,13.381642512077295,1.1868536335871653,0.7356059861699435,1.6908212560386473,0.8776167471819645,1.932367149758454,1.5136876006441224,0.43075475357464044,0.2669796564071376,-0.1283847034032089,-0.13548295406425767,-0.11012388909080496,-0.12447988004502157,0.009585865739283172,0.00594127196554621,-0.5363950728321257,-0.7174815546249435,-0.4351357513893083,-0.5686833930081323,0.10713935643467987,0.0664044408825224,-0.43951325564318033,-0.47734266574607026,-0.4159778118397745,-0.4461098668503419,0.024389743464158144,0.015116641838267886,0.028893104350135666,0.02552364623886656,0.030206161955629363,0.028170729761354936,0.0017698968416908947,0.0010969732701715494,0.1089031345458693,0.0891392121609958,0.1427343190065838,0.11459457963195765,0.020248044939394458,0.012549637667316205,0.08144488384615337,0.07729837217453407,0.08811828177838167,0.08259895731699976,0.00428382501341733,0.002655093462578084,162.39970027769448,304.6360714285714
University Hospital Aintree,9.353348729792147,7.956120092378753,11.84757505773672,9.584295612009237,1.4976964171165297,0.928264799229165,1.1547344110854503,0.7967667436489607,1.7667436489607382,1.2240184757505774,0.37791955992713094,0.23423266585356184,-0.1090636858290705,-0.12527415826133462,-0.09249825091509724,-0.10820137260073948,0.012805684904316354,0.007936899888952798,-0.39669115609000893,-0.5630094074297212,-0.1929052501677612,-0.3931310159705137,0.13358010668835546,0.08279228654015602,-0.4431396355854209,-0.46704636832883184,-0.39660427570588025,-0.4356138084157156,0.0268764689438515,0.016657901937287,0.02530015479848974,0.02224385812485721,0.02830565847984917,0.025141027666571725,0.0023806936617460943,0.0014755421049891838,0.08204141806067994,0.042963315430565294,0.11392221027131329,0.08118653930718177,0.025538503514980822,0.015828637611077695,0.08213404875497328,0.07385809149785608,0.08618144456957329,0.08073324598053826,0.004712582777101931,0.0029208353945718163,165.98871658298555,320.1072222222222
University Hospital Coventry,14.306358381502891,13.79335260115607,15.729768786127167,14.552023121387283,0.8090478235310898,0.5014438219213879,0.6502890173410405,0.3540462427745664,1.300578034682081,0.7658959537572254,0.34768944956875897,0.21549619362742423,-0.11412976707162803,-0.12061150896663698,-0.10072832534430627,-0.11238319889610973,0.0072705944036237,0.004506278293267316,-0.6534368917814841,-0.8482587401722338,-0.35427424837816923,-0.608223274974168,0.19695485910166688,0.12207164325945796,-0.45918767173267283,-0.47094084248581375,-0.42434931462607933,-0.4527141171086405,0.01850660077136173,0.011470299222933744,0.026241240336471638,0.02376467033193708,0.02745480654795043,0.025925061461790588,0.0013480658163199748,0.0008355244961747131,0.13015012101496248,0.07375022973804966,0.1662628790257749,0.12161430081222462,0.03693235574625789,0.022890490622835463,0.08493188314240127,0.07878844593324105,0.08701055783899724,0.08380302164734653,0.0032636218638304225,0.0020227766185226537,160.37287434933486,259.8959523809524
University Hospital of North Durham,14.123957091775925,12.079856972586413,15.560190703218117,13.921334922526816,1.2178345434512323,0.7548078001999681,0.23837902264600713,0.05363528009535161,0.6615017878426697,0.297973778307509,0.2333599547967964,0.14463534072187145,-0.11066217662343977,-0.1186089218543739,-0.10035392005912099,-0.11038529163127808,0.006716259000921493,0.004162703964441933,-0.5258473750096985,-0.6881752620063423,-0.21871660984888797,-0.468950762526576,0.19349084821792956,0.11992466652186867,-0.44184666642700376,-0.458990916178298,-0.41618005122116203,-0.4396520740649663,0.015842413081503113,0.009819048927632412,0.025604939424976863,0.02369795395602398,0.02708507068545834,0.0255567994262658,0.0012464483819798484,0.0007725425151751675,0.10698530474467693,0.048172878997049154,0.13771268442350088,0.09592790294243815,0.03690669614415552,0.02287458692892151,0.08190184545029373,0.07740082914724208,0.08490845153473442,0.08150773935514101,0.002782724245420433,0.001724718663585048,166.60288985619894,285.3222222222222
