stroke_team,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt
Grange University Hospital,other,10.666666666666666,0.0,0.0,,0.625,0.575,0.9565217391304348,0.9090909090909091,1.0,0.0,4.61744344563578,0.779101761338823,2.9893465780708315,0.8480866031584505,,,0.625,0.7,1.0,0.9642857142857143,1.0,0.0,4.827528776678528,0.8423510996460082,3.3143898645874366,1.1069516019377272,,
Great Western Hospital Swindon,lvo,46.166666666666664,0.2996389891696751,0.01444043321299639,0.75,0.6714801444043321,0.7956989247311828,0.9864864864864865,0.9726027397260274,1.0,0.5704225352112676,4.402772336402265,0.5080062626946946,2.842573651280634,0.8357354399014485,3.6065682182796994,0.6993806922901915,0.6714801444043321,0.9086021505376344,0.9822485207100592,0.9819277108433735,0.9938650306748467,0.024691358024691357,4.573147306407942,0.6607504818352774,2.9419536313735803,0.9157953687449087,5.357906890525036,0.48291938191650713
Great Western Hospital Swindon,nlvo,256.8333333333333,0.07527579493835172,0.0006489292667099286,0.0,0.663854639844257,0.5034213098729228,0.945631067961165,0.8234086242299795,1.0,0.2793017456359102,4.6060748044328,0.5470344256840591,3.2505616572599343,1.1448390439718008,3.6871442413668487,0.8387431273791803,0.663854639844257,0.6529814271749755,0.9790419161676647,0.9250764525993884,0.9900826446280991,0.001669449081803005,4.879776986064434,0.7007189050909063,3.4666395988401244,1.2422769523245931,5.720311776607412,
Great Western Hospital Swindon,other,44.0,0.0,0.0,,0.6325757575757576,0.7005988023952096,0.9487179487179487,0.8648648648648649,1.0,0.0,4.591091112667917,0.5565099390279461,3.32427986678796,1.0601635721420177,,,0.6325757575757576,0.8083832335329342,1.0,0.9407407407407408,0.9921259842519685,0.0,4.753395925966981,0.6687066935326776,3.4137093270983443,1.219866134200726,,
Hereford County Hospital,lvo,87.5,0.2,0.013333333333333334,0.5714285714285714,0.6533333333333333,0.7755102040816326,0.9849624060150376,0.9007633587786259,1.0,0.4152542372881356,4.56655793515718,0.47130529553474565,3.3540794336756203,1.2442124940429184,3.6605101335901584,0.5541131589596345,0.6533333333333333,0.9154518950437318,0.9936305732484076,0.9711538461538461,0.9933993399339934,0.023255813953488372,4.750884817412977,0.6189766347207225,3.4550001685008382,1.2162613425785807,5.47304014595031,0.2115060482939829
Hereford County Hospital,nlvo,315.1666666666667,0.06187202538339503,0.0005288207297726071,0.0,0.6329984135378107,0.5380116959064327,0.9254658385093167,0.8036912751677853,1.0,0.23799582463465555,4.681713294899018,0.5741578208814896,3.6912965719094397,1.1222491418576779,3.7215953219320097,0.5944745812994638,0.6329984135378107,0.7276524644945698,0.9690011481056258,0.8981042654028436,0.9775725593667546,0.001349527665317139,4.975419045345524,0.7058812686425558,3.9482357088427165,1.1544514335871365,5.840641657373398,
Hereford County Hospital,other,56.333333333333336,0.0,0.0,,0.6923076923076923,0.7222222222222222,0.9349112426035503,0.8670886075949367,1.0,0.0,4.543331197565791,0.6715502628109729,3.5650797246685566,1.1360202202519991,,,0.6923076923076923,0.8632478632478633,0.9702970297029703,0.9642857142857143,0.9947089947089947,0.0,4.740877053955196,0.7637532292875391,3.721002282168703,1.1762943095735907,,
Hull Royal Infirmary,lvo,139.16666666666666,0.26467065868263473,0.07305389221556886,0.639344262295082,0.8323353293413174,0.6258992805755396,0.9839080459770115,0.9158878504672897,1.0,0.5153061224489796,4.464568227787206,0.5664158142357832,3.1238866601996036,0.8476099789180601,3.1898440643903236,0.6483713822330937,0.8323353293413174,0.7553956834532374,0.9923809523809524,0.9750479846449136,0.9921259842519685,0.09325396825396826,4.693781534404439,0.7256085439492681,3.2341154977603006,0.9096959482456215,4.066898630730573,0.9298008894284675
Hull Royal Infirmary,nlvo,498.6666666666667,0.07921122994652406,0.0033422459893048127,1.0,0.722927807486631,0.42764678687008784,0.8918918918918919,0.8084848484848485,1.0,0.3268365817091454,4.576852203527453,0.5633634550444607,3.6613944417323276,0.9348479026689549,3.220689848631576,0.7565495097849573,0.722927807486631,0.565880721220527,0.946078431372549,0.8937823834196891,0.9874396135265701,0.007827788649706457,4.887169070457232,0.7398401329579876,3.904367421776208,1.0422505460393505,3.912168114917378,0.6047295202964852
Hull Royal Infirmary,other,89.66666666666667,0.0,0.0,,0.7453531598513011,0.5785536159600998,0.9310344827586207,0.8564814814814815,1.0,0.0,4.563767334818507,0.5420772758057741,3.3766503664326373,1.036791004766708,,,0.7453531598513011,0.7281795511221946,0.9554794520547946,0.946236559139785,0.9886363636363636,0.0,4.819781597572225,0.7048659199736176,3.513724693095509,1.1090141164768557,,
